route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
777,48686.126106,670294,,,,23714,48686,0,0
777,48686.126106,670295,,,,23714,48686,0,0
777,48686.126106,670296,,,,23714,48686,0,0
777,48686.126106,670297,,,,23714,48686,0,0
777,48686.126106,670298,,,,23714,48686,0,0
777,48686.126106,670299,,,,23714,48686,0,0
777,48686.126106,670300,,,,23714,48686,0,0
777,48686.126106,670301,,,,23714,48686,0,0
777,48686.126106,670302,,,,23714,48686,0,0
777,48686.126106,670303,,,,23714,48686,0,0
777,48686.126106,670304,,,,23714,48686,0,0
777,48686.126106,671177,,,,23714,48686,0,0
777,48686.126106,772181,,,,23714,48686,0,0
777,48686.126106,670305,,,,23715,48686,0,0
777,48686.126106,670306,,,,23715,48686,0,0
777,48686.126106,670307,,,,23715,48686,0,0
777,48686.126106,670308,,,,23715,48686,0,0
777,48686.126106,670309,,,,23715,48686,0,0
777,48686.126106,670310,,,,23715,48686,0,0
777,48686.126106,670311,,,,23715,48686.115,0,0
777,48686.126106,670312,,,,23715,48686,0,0
777,48686.126106,670314,,,,23715,48686,0,0
777,48686.126106,670315,,,,23715,48686,0,0
777,48686.126106,772178,,,,23715,48686,0,0
777,48686.126106,772179,,,,23715,48686,0,0
778,48152.124657,661197,,,,23266,48152,0,0
778,48152.124657,661198,,,,23266,48152,0,0
778,48152.124657,661199,,,,23266,48152,0,0
778,48152.124657,661200,,,,23266,48152,0,0
778,48152.124657,661201,,,,23266,48152,0,0
778,48152.124657,661203,,,,23266,48152,0,0
778,48152.124657,661204,,,,23266,48152.57,0,0
778,48152.124657,661205,,,,23267,48152.58,0,0
778,48152.124657,661206,,,,23267,48152,0,0
778,48152.124657,661207,,,,23267,48152,0,0
778,48152.124657,661208,,,,23267,48152,0,0
778,48152.124657,661210,,,,23268,48152.59,0,0
778,48152.124657,661211,,,,23268,48152,0,0
778,48152.124657,661212,,,,23268,48152,0,0
778,48152.124657,661213,,,,23268,48152,0,0
778,48152.124657,661214,,,,23268,48152,0,0
778,48152.124657,661215,,,,23268,48152,0,0
778,48152.124657,661216,,,,23268,48152.60,0,0
778,48152.124657,661217,,,,23269,48152,0,0
778,48152.124657,661218,,,,23269,48152,0,0
778,48152.124657,661219,,,,23269,48152,0,0
778,48152.124657,661220,,,,23269,48152,0,0
778,48152.124657,661221,,,,23269,48152.61,0,0
778,48152.124657,661223,,,,23270,48152,0,0
778,48152.124657,661224,,,,23270,48152,0,0
778,48152.124657,661225,,,,23270,48152,0,0
778,48152.124657,661226,,,,23270,48152,0,0
778,48152.124657,661227,,,,23270,48152,0,0
778,48152.124657,661228,,,,23270,48152,0,0
778,48152.124657,661229,,,,23270,48152,0,0
778,48152.124676,661317,,,,23272,48152.67,0,0
778,48152.124676,661318,,,,23272,48152,0,0
778,48152.124676,661319,,,,23272,48152,0,0
778,48152.124676,661320,,,,23272,48152.69,0,0
778,48152.126140,670450,,,,23729,48152,0,0
778,48152.126140,670612,,,,23729,48152,0,0
778,48152.126140,670613,,,,23729,48152,0,0
778,48152.126140,670614,,,,23729,48152,0,0
778,48152.126140,670615,,,,23729,48152,0,0
778,48152.126140,670616,,,,23729,48152,0,0
783,48686.126106,670332,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670333,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670334,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670335,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670336,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670337,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670338,Crimson Cruiser,,,23717,48688.96,0,0
783,48686.126106,670339,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,670340,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671430,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671431,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671432,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671433,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671434,Crimson Cruiser,,,23717,48688.429,0,0
783,48688.126119,670358,Crimson Cruiser,,,23718,48688.95,0,0
783,48688.126119,670359,Crimson Cruiser,,,23718,48688,0,0
783,48688.126119,670360,Crimson Cruiser,,,23718,48688,0,0
783,48688.126119,670361,Crimson Cruiser,,,23718,48688,0,0
783,48688.126119,671394,Crimson Cruiser,,,23718,48688,0,0
789,48167.124675,661307,,,,23271,48167.64,0,0
789,48167.124675,661308,,,,23271,48167.80,0,0
789,48152.124657,670371,,,,23719,48167,0,0
789,48152.124657,670372,,,,23719,48167,0,0
789,48152.124657,670373,,,,23719,48167,0,0
789,48152.124657,670374,,,,23719,48167,0,0
789,48152.124657,670375,,,,23719,48167,0,0
789,48152.124657,670376,,,,23719,48167,0,0
789,48152.124657,670377,,,,23719,48167,0,0
789,48152.124657,670378,,,,23719,48167,0,0
789,48152.124657,670379,,,,23719,48167,0,0
789,48152.124657,670380,,,,23719,48167,0,0
789,48152.124657,670381,,,,23719,48167,0,0
789,48152.124657,670382,,,,23719,48167,0,0
789,48152.124657,670383,,,,23719,48167,0,0
789,48152.124657,670384,,,,23719,48167,0,0
789,48152.124657,670385,,,,23719,48167,0,0
789,48152.124657,670386,,,,23719,48167,0,0
789,48152.124657,670387,,,,23719,48167,0,0
789,48152.124657,670388,,,,23719,48167,0,0
789,48152.124657,670389,,,,23719,48167,0,0
789,48152.124657,670390,,,,23719,48167.98,0,0
789,48152.124657,955168,,,,23719,48167,0,0
789,48152.124657,670391,,,,23718,48167,0,0
789,48152.124657,670392,,,,23718,48167,0,0
789,48152.124657,670393,,,,23718,48167,0,0
789,48152.124657,670394,,,,23718,48167,0,0
785,48688.126119,661285,,,,23270,48165.62,0,0
785,48688.126119,661286,,,,23270,48165,0,0
785,48688.126119,661287,,,,23270,48165,0,0
785,48688.126119,661288,,,,23270,48165,0,0
785,48688.126119,661289,,,,23270,48165.63,0,0
785,48688.126119,661323,,,,23780,48165,0,0
785,48688.126119,661324,,,,23780,48165,0,0
785,48688.126119,661325,,,,23780,48165,0,0
785,48688.126119,661326,,,,23780,48165,0,0
785,48688.126119,661327,,,,23780,48165,0,0
785,48688.126119,661328,,,,23780,48165.72,0,0
785,48167.124675,661331,,,,23273,48165,0,0
785,48167.124675,661332,,,,23273,48165,0,0
785,48167.124675,661333,,,,23273,48165,0,0
785,48167.124675,661334,,,,23273,48165,0,0
785,48167.124675,661335,,,,23273,48165,0,0
785,48167.124675,661336,,,,23273,48165,0,0
785,48167.124675,661337,,,,23273,48165,0,0
785,48167.124675,661338,,,,23273,48165.73,0,0
790,48152.124676,661290,,,,23271,48166.74,0,0
790,48152.124676,661292,,,,23271,48166,0,0
790,48152.124676,661293,,,,23271,48166,0,0
790,48152.124676,661294,,,,23271,48166,0,0
790,48152.124676,661295,,,,23271,48166,0,0
790,48152.124676,661296,,,,23271,48166,0,0
790,48152.124676,661297,,,,23271,48166,0,0
790,48152.124676,661298,,,,23271,48166,0,0
790,48152.124676,661299,,,,23271,48166,0,0
790,48152.124676,661300,,,,23271,48166,0,0
790,48152.124676,661301,,,,23271,48166,0,0
790,48152.124676,661302,,,,23271,48166,0,0
790,48152.124676,661303,,,,23271,48166,0,0
790,48152.124676,661304,,,,23271,48166,0,0
790,48152.124676,661305,,,,23271,48166,0,0
790,48152.124676,661306,,,,23271,48166.76,0,0
790,48152.124676,775210,,,,23271,48166,0,0
790,48152.124657,670178,,,,23713,48166.85,0,0
790,48152.124657,670179,,,,23713,48166.87,0,0
790,48152.124657,670180,,,,23713,48166,0,0
790,48152.124657,670181,,,,23713,48166,0,0
790,48152.124657,670182,,,,23713,48166,0,0
790,48152.124657,670183,,,,23713,48166,0,0
790,48152.124657,670184,,,,23713,48166,0,0
790,48152.124657,670185,,,,23713,48166,0,0
790,48152.124657,670186,,,,23713,48166,0,0
790,48152.124657,670187,,,,23713,48166,0,0
790,48152.124657,670188,,,,23713,48166,0,0
790,48152.124657,670189,,,,23713,48166,0,0
790,48152.124657,670190,,,,23713,48166.88,0,0
790,48152.124657,670191,,,,23713,48166,0,0
790,48152.124657,670192,,,,23713,48166,0,0
790,48152.124657,670193,,,,23713,48166,0,0
790,48152.124657,670194,,,,23713,48166,0,0
790,48152.124657,670195,,,,23713,48166,0,0
790,48152.124657,670196,,,,23713,48166,0,0
790,48152.124657,670197,,,,23713,48166,0,0
790,48152.124657,670198,,,,23713,48166,0,0
790,48152.124657,670201,,,,23711,48166.86,0,0
790,48152.124657,670202,,,,23711,48166,0,0
790,48152.124657,670203,,,,23711,48166,0,0
790,48152.124657,670204,,,,23711,48166.102,0,0
790,48152.124657,670205,,,,23711,48166,0,0
790,48152.124657,670206,,,,23711,48166,0,0
790,48152.124657,670207,,,,23711,48166,0,0
790,48152.124657,670208,,,,23711,48166,0,0
790,48152.124657,670209,,,,23711,48166,0,0
790,48152.124657,670210,,,,23711,48166,0,0
790,48152.124657,670211,,,,23711,48166,0,0
790,48152.124657,670212,,,,23711,48166,0,0
790,48152.124657,670213,,,,23711,48166,0,0
790,48152.124657,670214,,,,23711,48166.103,0,0
2235,48152.124676,661310,,,,23271,48168.104,0,0
